DATE,rate
2008/3/1,4.0582539
2008/4/1,4.2668808
2008/5/1,4.2666429
2008/6/1,4.2442005
2008/7/1,4.251085
2008/8/1,4.0161487
2008/9/1,4.2897243
2008/10/1,4.2909615
2008/11/1,4.4633169
2008/12/1,4.5710923
2009/1/1,4.9080844
2009/2/1,5.3061022
2009/3/1,5.7130255
2009/4/1,5.514769
2009/5/1,5.812155
2009/6/1,5.8616672
2009/7/1,5.6736211
2009/8/1,5.7160657
2009/9/1,5.6614595
2009/10/1,5.6243064
2009/11/1,5.5589886
2009/12/1,5.4921453
2010/1/1,5.2663448
2010/2/1,5.3033428
2010/3/1,5.4243303
2010/4/1,5.4997422
2010/5/1,5.2294427
2010/6/1,5.1440434
2010/7/1,5.2894916
2010/8/1,5.0336063
2010/9/1,5.053716
2010/10/1,5.2864936
2010/11/1,5.1091021
2010/12/1,4.8781787
2011/1/1,5.0041799
2011/2/1,4.9782663
2011/3/1,4.9278087
2011/4/1,4.9604182
2011/5/1,5.0133404
2011/6/1,4.9150625
2011/7/1,5.0941849
2011/8/1,5.2705507
2011/9/1,5.2190685
2011/10/1,5.1899532
2011/11/1,5.2305272
2011/12/1,5.1990927
2012/1/1,5.0481409
2012/2/1,5.2020775
2012/3/1,5.1852609
2012/4/1,4.9957336
2012/5/1,5.2001925
2012/6/1,5.1598784
2012/7/1,5.1829524
2012/8/1,5.1548014
2012/9/1,5.4824114
2012/10/1,5.4131845
2012/11/1,5.2562844
2012/12/1,5.4355004
2013/1/1,5.3904535
2013/2/1,5.4106749
2013/3/1,5.6444697
2013/4/1,5.5905519
2013/5/1,5.6101263
2013/6/1,5.6896662
2013/7/1,5.6346734
2013/8/1,5.8382851
2013/9/1,5.6951092
2013/10/1,5.8253341
2013/11/1,5.7965782
2013/12/1,5.9041404
2014/1/1,5.9442185
2014/2/1,5.8950288
2014/3/1,5.8822963
2014/4/1,5.8090993
2014/5/1,5.9309768
2014/6/1,6.0369073
2014/7/1,6.1586582
2014/8/1,6.0851773
